trader_id,age,prior_experience_years,starting_capital,account_age_months,instrument,market_regime,broker_cost_bps,risk_per_trade_pct,avg_leverage,trades_per_month,uses_stop_loss,avg_win_hold_days,avg_loss_hold_days,diversification,journals_trades,revenge_trading,overconfidence,follows_plan,chases_volatility,position_sizing_discipline,net_return_pct,profitable,blew_up
TRD000000,41,1.3,6670.0,6,forex,bull,16.9,1.4,6.2,36,1,2.7,4.6,0.6,0,6.6,2.9,5.2,7.3,9.2,-33.9,0,0
TRD000001,18,1.3,6230.0,10,futures,bull,4.7,0.76,13.6,30,1,11.0,19.7,4.1,2,3.6,10.0,5.5,7.7,10.0,-10.0,0,0
TRD000002,27,1.0,2530.0,9,forex,choppy,7.8,1.67,4.5,23,1,1.2,3.1,3.2,0,2.6,4.0,2.2,4.8,5.7,-21.6,0,0
TRD000003,55,1.9,6100.0,12,stocks,bull,12.1,2.52,2.3,77,0,20.0,51.4,5.6,0,2.6,6.8,7.4,10.0,6.8,4.8,1,0
TRD000004,34,1.5,7370.0,15,crypto,choppy,13.4,4.22,12.1,29,0,6.7,15.8,6.5,2,6.1,5.0,7.7,4.7,7.5,14.6,1,0
TRD000005,29,0.1,7700.0,6,options,choppy,10.7,0.3,2.5,14,1,6.6,9.5,3.6,0,3.7,7.8,6.0,6.9,10.0,-40.0,0,1
TRD000006,32,0.4,5320.0,10,stocks,bear,12.1,0.71,1.7,5,0,13.8,17.0,2.5,2,3.5,0.0,3.8,1.4,7.9,-20.9,0,0
TRD000007,52,0.3,5590.0,5,futures,bear,5.5,1.03,10.2,9,0,5.2,11.5,3.2,2,4.3,8.8,5.5,10.0,6.6,-40.0,0,1
TRD000008,25,0.0,3740.0,6,forex,choppy,15.5,1.55,8.2,7,0,5.5,9.4,8.1,0,3.5,8.1,3.6,10.0,6.8,-40.0,0,1
TRD000009,31,1.6,10390.0,32,forex,choppy,1.4,0.48,2.4,29,1,2.8,6.2,6.0,2,9.2,3.0,6.8,4.2,9.7,-6.4,0,0
TRD000010,39,4.6,27490.0,25,stocks,bull,2.0,0.16,1.0,22,1,24.8,29.7,5.4,1,4.8,3.5,2.8,10.0,10.0,-11.7,0,0
TRD000011,20,3.7,5360.0,20,stocks,choppy,17.7,1.61,3.6,64,1,7.6,8.7,6.5,2,2.4,8.0,5.1,8.9,9.4,6.6,1,0
TRD000012,34,0.4,8420.0,5,crypto,choppy,3.0,4.45,5.5,7,1,0.8,1.9,9.7,1,8.3,4.2,6.7,6.5,8.8,-40.0,0,1
TRD000013,35,5.0,12810.0,2,options,bull,6.8,5.36,10.5,86,1,1.0,2.3,2.7,2,10.0,3.2,4.1,7.0,10.0,-40.0,0,1
TRD000014,26,1.7,1730.0,43,crypto,bear,19.0,0.79,5.9,9,0,14.2,30.3,3.5,1,3.8,4.8,6.9,6.9,8.2,-21.1,0,0
TRD000015,19,1.6,3090.0,15,etf,choppy,13.4,1.64,1.6,84,1,1.9,4.9,4.5,2,3.4,3.9,7.7,6.5,7.6,-40.0,0,1
TRD000016,43,1.3,1710.0,4,stocks,bear,11.8,2.85,5.0,13,1,6.0,8.2,0.0,0,5.3,1.2,3.7,5.3,5.4,-40.0,0,1
TRD000017,47,8.0,11600.0,11,stocks,choppy,14.1,1.48,1.5,30,1,0.5,0.8,5.2,0,3.9,4.4,3.3,5.0,10.0,-28.8,0,0
TRD000018,37,2.7,25150.0,3,options,choppy,24.2,0.98,23.8,11,0,7.1,7.8,2.9,0,2.9,3.3,5.1,9.7,10.0,-40.0,0,1
TRD000019,45,0.2,20590.0,6,forex,choppy,6.9,1.87,36.8,29,0,2.7,6.5,2.7,0,0.0,0.9,7.0,7.3,5.5,-40.0,0,1
TRD000020,27,1.0,11310.0,2,forex,choppy,15.6,1.07,11.0,72,1,24.4,29.6,3.8,1,6.2,4.7,6.2,7.0,9.2,-40.0,0,1
TRD000021,27,1.1,10940.0,17,futures,bear,4.6,4.63,3.1,11,0,12.4,29.8,2.5,0,3.9,4.2,1.0,8.7,7.1,-40.0,0,1
TRD000022,34,1.3,18870.0,12,forex,bear,11.2,0.64,8.5,13,1,5.3,11.0,5.6,0,0.0,3.8,7.0,4.9,6.9,-16.3,0,0
TRD000023,35,3.1,4600.0,5,forex,bull,4.8,2.28,10.6,39,0,4.0,8.5,5.0,0,6.8,6.0,5.1,5.2,7.1,-40.0,0,1
TRD000024,26,0.8,54890.0,10,crypto,bull,10.0,2.44,6.2,21,0,10.6,20.6,4.5,0,6.8,10.0,5.5,10.0,9.1,-40.0,0,1
TRD000025,37,2.7,8630.0,10,futures,bull,13.7,2.03,18.8,27,0,10.6,22.8,2.8,0,7.4,4.7,1.9,9.5,7.7,-40.0,0,1
TRD000026,35,2.3,2990.0,13,options,choppy,10.4,3.52,2.2,105,0,0.9,2.1,2.5,0,7.0,8.3,7.2,10.0,8.8,-40.0,0,1
TRD000027,40,1.0,30990.0,8,options,bull,15.3,1.19,11.3,21,1,2.8,2.9,0.2,1,1.5,2.3,6.4,2.6,9.6,-13.9,0,0
TRD000028,48,2.6,4770.0,13,options,bear,6.5,1.71,11.2,2,1,9.0,18.3,5.5,0,0.0,1.4,5.3,4.3,7.0,-40.0,0,1
TRD000029,61,1.6,7270.0,13,stocks,bull,4.5,0.87,1.1,36,0,6.6,17.0,4.9,1,6.0,4.7,3.9,5.9,8.4,-40.0,0,1
TRD000030,43,2.9,3170.0,54,options,choppy,10.0,3.0,14.3,55,1,7.7,12.6,2.1,0,1.0,8.7,2.8,6.3,1.0,-40.0,0,1
TRD000031,22,3.1,18210.0,8,futures,choppy,9.1,5.22,16.7,22,1,9.1,15.3,6.6,0,4.7,5.4,1.9,10.0,7.9,-11.0,0,0
TRD000032,25,1.2,2010.0,1,options,choppy,4.5,2.23,7.5,18,0,8.9,9.8,2.8,1,5.6,6.4,3.9,5.1,10.0,-40.0,0,1
TRD000033,25,0.6,4030.0,10,futures,choppy,16.2,1.85,5.0,21,0,0.9,1.8,5.2,0,5.3,6.6,5.3,7.5,9.7,7.6,1,0
TRD000034,36,0.8,4570.0,7,stocks,bear,22.9,1.49,4.4,16,1,7.2,8.7,0.3,0,6.9,7.1,4.4,9.0,7.7,17.9,1,0
TRD000035,18,2.5,18770.0,66,stocks,bear,14.6,1.7,2.1,49,1,13.3,16.4,3.7,1,7.3,5.5,3.2,6.7,9.8,-40.0,0,1
TRD000036,37,1.4,15800.0,13,crypto,bull,14.7,4.03,7.3,134,0,0.7,1.1,4.9,2,5.0,3.0,6.0,7.2,7.6,-40.0,0,1
TRD000037,25,1.7,2990.0,13,forex,bull,8.4,0.21,1.2,15,1,4.0,8.1,3.5,0,0.0,6.1,5.5,6.9,10.0,-9.2,0,0
TRD000038,36,1.6,42640.0,18,stocks,choppy,8.2,1.41,2.8,13,0,3.7,8.5,8.9,1,6.6,2.1,3.9,5.6,6.2,6.1,1,0
TRD000039,55,0.8,5410.0,2,stocks,choppy,17.4,2.05,2.7,1,0,8.4,20.5,3.4,2,6.3,5.9,7.8,9.3,7.2,-40.0,0,1
TRD000040,21,0.5,7930.0,13,stocks,choppy,26.1,1.34,1.5,36,1,4.2,5.5,0.0,1,4.6,3.8,1.0,10.0,4.5,-33.0,0,0
TRD000041,27,0.8,3930.0,7,etf,bull,10.9,2.21,1.0,8,0,11.3,24.4,1.4,1,5.8,2.0,6.4,6.2,9.3,-6.2,0,0
TRD000042,23,0.4,1520.0,5,crypto,bear,16.1,0.99,8.8,38,1,2.0,4.6,5.9,1,5.3,1.3,6.9,8.5,9.0,-19.2,0,0
TRD000043,45,2.1,1210.0,20,stocks,choppy,10.5,2.63,1.0,25,0,3.4,6.9,3.5,1,4.7,3.7,2.9,7.9,6.5,-40.0,0,1
TRD000044,39,2.6,7850.0,28,stocks,bull,12.9,2.62,1.1,10,0,8.5,11.1,3.7,0,7.2,2.2,2.0,4.1,6.5,-26.1,0,0
TRD000045,19,0.7,29040.0,7,futures,bear,7.5,2.06,2.6,5,0,18.5,21.8,2.7,1,1.8,1.4,5.6,4.0,7.7,13.7,1,0
TRD000046,25,2.8,12960.0,4,forex,bear,15.6,2.11,5.0,8,0,1.2,2.7,5.0,0,5.9,4.6,6.2,5.8,7.2,-13.9,0,0
TRD000047,45,0.8,1500.0,25,forex,bull,16.3,1.0,7.6,17,0,10.8,23.3,2.8,0,6.6,4.3,4.9,6.6,9.7,-40.0,0,1
TRD000048,42,0.5,25130.0,18,futures,choppy,0.5,4.81,10.1,48,0,2.9,4.1,5.4,1,0.0,8.4,5.7,6.2,6.6,-40.0,0,1
TRD000049,39,3.0,4300.0,7,stocks,bull,15.1,3.79,3.6,14,1,7.1,17.1,3.1,2,6.4,6.1,0.9,7.6,8.5,0.6,1,0
TRD000050,32,2.8,2590.0,13,crypto,choppy,20.2,3.16,7.3,25,0,6.7,9.1,5.4,0,3.7,2.3,3.2,9.2,10.0,-18.9,0,0
TRD000051,30,2.6,2090.0,35,crypto,bull,10.0,0.1,15.4,28,1,13.4,26.3,4.4,2,4.1,6.3,6.9,7.7,8.8,-40.0,0,1
TRD000052,27,0.8,16080.0,21,options,bull,12.0,3.41,22.0,15,1,9.6,22.0,2.6,1,4.5,8.1,5.6,4.4,6.0,-40.0,0,1
TRD000053,38,2.2,8650.0,50,forex,choppy,18.2,0.94,18.6,31,0,2.5,2.7,7.8,0,7.3,0.9,6.6,3.3,6.0,-23.7,0,0
TRD000054,50,0.3,4750.0,49,stocks,bull,11.5,3.5,3.0,9,1,3.5,7.7,3.4,0,5.3,3.9,9.6,9.6,9.0,9.5,1,0
TRD000055,22,4.5,8490.0,7,stocks,choppy,7.2,3.16,1.0,13,1,4.9,9.4,3.3,0,3.1,6.2,5.3,6.6,8.1,5.8,1,0
TRD000056,48,0.7,2130.0,23,stocks,choppy,17.3,2.71,1.3,10,0,4.6,5.5,5.5,0,4.8,0.7,5.4,7.3,9.0,25.6,1,0
TRD000057,43,4.0,7870.0,15,stocks,bear,9.2,6.51,2.3,13,1,3.3,6.1,3.9,1,7.5,2.7,8.1,1.2,7.9,-0.5,0,0
TRD000058,42,5.4,7350.0,7,forex,choppy,9.9,1.13,7.3,19,0,1.3,1.3,4.8,1,4.5,5.8,3.5,10.0,9.3,13.3,1,0
TRD000059,22,2.5,1350.0,7,crypto,choppy,12.1,2.61,10.7,25,1,3.5,7.5,6.9,0,0.6,1.5,6.3,2.8,3.6,9.2,1,0
TRD000060,47,2.3,2640.0,21,stocks,choppy,23.5,5.22,2.4,43,0,20.5,43.1,4.0,1,1.2,8.1,5.5,9.0,6.1,-46.0,0,1
TRD000061,44,1.0,5420.0,5,crypto,bear,15.3,5.86,3.1,85,0,4.8,10.5,4.4,1,7.0,8.9,7.2,7.5,9.6,-40.0,0,1
TRD000062,40,1.0,1670.0,18,futures,choppy,20.5,1.44,16.2,20,0,1.3,3.1,5.1,0,6.8,8.7,4.3,6.8,8.4,-22.8,0,0
TRD000063,20,2.8,18880.0,8,crypto,choppy,10.7,2.27,4.9,7,1,1.6,3.9,7.3,0,0.0,7.1,6.6,7.5,7.9,-5.2,0,0
TRD000064,31,0.1,23660.0,13,forex,choppy,24.4,2.12,15.8,42,0,1.5,2.8,6.4,1,8.4,6.7,6.2,9.3,10.0,-40.0,0,1
TRD000065,18,0.2,17680.0,8,crypto,bear,3.0,1.53,16.9,47,0,5.8,14.2,5.4,2,5.2,4.4,6.1,8.3,10.0,-40.0,0,1
TRD000066,35,3.2,8710.0,35,futures,choppy,11.7,1.04,10.9,12,0,24.7,35.3,3.7,0,2.8,3.5,6.7,7.7,8.0,-2.7,0,0
TRD000067,18,1.3,2670.0,5,stocks,bull,5.1,2.89,1.7,35,1,9.2,14.2,5.4,2,6.4,3.7,3.4,10.0,5.1,-40.0,0,1
TRD000068,22,1.1,430.0,7,options,bear,21.0,3.04,5.9,17,1,2.2,4.7,5.4,0,7.5,0.6,4.9,2.9,7.5,-40.0,0,1
TRD000069,54,3.7,3610.0,7,crypto,bear,1.3,0.75,5.6,3,0,1.3,1.9,5.6,0,8.7,4.4,8.7,7.7,10.0,-12.0,0,0
TRD000070,21,2.1,11820.0,28,crypto,bull,2.5,1.89,3.2,10,0,24.3,34.4,9.0,2,4.5,5.0,4.9,6.0,4.1,-40.0,0,1
TRD000071,41,0.1,5600.0,19,forex,bull,17.4,0.47,14.0,42,1,3.7,9.4,2.8,0,0.0,5.4,8.5,5.2,4.8,-15.5,0,0
TRD000072,39,2.6,15580.0,30,crypto,choppy,9.7,3.65,4.0,55,0,11.5,17.6,2.2,2,7.4,8.1,5.7,6.7,9.5,-40.0,0,1
